time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0.199038,25.074500,3.553755,37.523604,35.673330,-212.135564,706.451352,9.293357,-40.791157,9.691686,-13.491858,0.625846,-0.563779,0.003209,15.259406,45.868959,-3.093342,-0.765272,-0.136087,0.555314,-0.007918,-20.637120,92.078123,11.032808
0.208990,27.277003,5.797094,39.840948,31.693710,-216.393260,718.535240,9.837852,-42.007412,9.907578,-13.073515,0.698947,-0.607380,0.000713,11.758287,43.547224,-3.142641,-0.097089,-0.094151,0.495777,-0.009363,-16.493579,93.719382,12.168388
0.218942,5.443898,8.608950,35.319961,-28.208265,-257.794528,658.452257,5.156467,-43.204118,10.352386,-11.840709,0.723255,-0.674532,0.004695,-0.896867,42.165504,-2.409559,3.821529,-0.108332,0.541790,-0.017699,-18.343947,90.215293,10.638698
0.228894,-9.163599,21.421980,26.137935,-78.157496,-310.382293,568.828274,-1.160398,-41.117177,10.176460,-11.266899,0.887006,-0.887697,-0.005056,-5.297079,41.099776,-1.147951,4.777991,-0.255135,0.640265,-0.011098,-20.651190,87.770263,8.327225
0.238846,9.140118,13.063267,27.968778,-12.558376,-267.521608,635.149458,-1.264745,-40.721346,9.257948,-10.625360,1.131169,-1.003818,-0.026555,5.846403,48.675257,-1.231122,2.144599,-0.438167,0.759310,0.010813,-14.947805,89.902533,7.990360
0.248798,24.715530,-8.346466,34.427142,63.300078,-196.046834,740.873259,-0.424665,-44.938934,8.273140,-8.019893,1.141835,-0.511321,-0.026204,12.755876,55.085168,-2.257045,1.448195,-0.380565,0.763014,0.013275,-8.866874,90.960905,8.740539
0.258750,19.593946,-0.225390,30.400416,31.129785,-225.329210,698.717143,-2.125772,-48.049261,7.617427,-6.157869,1.067302,0.026167,-0.012166,7.767742,46.346138,-1.796762,2.187103,-0.174618,0.563785,-0.005910,-8.758727,91.883806,9.339053
0.268702,9.576722,15.198770,24.459103,-21.295117,-278.718739,632.580508,-5.391786,-47.458311,7.914717,-6.023199,1.220715,-0.367504,-0.022692,2.324469,39.343667,-0.230079,2.337605,-0.138049,0.456069,-0.017494,-9.516918,93.300142,9.092710
0.278654,5.275889,10.747097,24.743797,-16.144145,-245.397535,650.779166,-7.971069,-45.432598,8.014197,-5.350294,1.469369,-1.007961,-0.047518,2.003777,44.281161,0.645880,2.607907,-0.227720,0.561275,-0.014127,-6.989085,93.241405,7.754778
0.288606,2.591218,2.695070,24.491391,3.140774,-163.759035,684.942816,-8.277969,-47.178525,7.831878,-3.582501,1.715363,-1.095317,-0.062481,3.143547,46.546383,0.850582,2.918790,-0.269258,0.621168,-0.006476,-5.164432,93.685615,5.803712
0.298558,-1.136116,5.358414,23.371088,4.745944,-108.084030,692.411007,-8.610171,-50.995390,8.265710,-1.303116,1.937908,-1.075706,-0.073349,3.749089,41.546230,0.882025,2.642968,-0.251397,0.546482,-0.002110,-5.542205,97.079079,5.860793
0.308510,-3.584832,12.049319,25.661678,1.576682,-83.089324,692.917574,-13.675011,-49.760105,8.169246,2.321535,1.959541,-1.159264,-0.080362,6.738705,38.723675,0.798608,1.142411,-0.192461,0.481695,-0.003118,-4.356994,99.748503,8.788806
0.318462,-11.537134,12.850193,28.015647,-5.414878,-62.339079,690.421931,-25.215727,-45.443097,7.412659,7.584384,1.830810,-1.239872,-0.084242,9.959760,41.221434,0.586204,0.196661,-0.184093,0.514850,-0.001118,-1.542061,97.890827,10.757271
0.328413,-36.369508,13.299125,26.991953,-25.296995,-33.720894,679.912098,-39.323141,-42.290476,6.839386,13.810410,1.581928,-1.387512,-0.081259,4.029418,45.282726,0.054302,4.795517,-0.356177,0.605301,0.010359,-1.349697,97.647519,10.205448
0.338365,-57.447456,20.711017,24.565265,-28.185253,0.364413,675.354915,-48.325180,-38.357732,5.132620,20.522867,1.118078,-1.328830,-0.057470,-0.956826,46.669170,-0.424718,9.279233,-0.485747,0.641280,0.018282,-4.642689,102.351146,9.770678
0.348317,-46.853716,25.662084,21.246869,10.229822,21.706150,680.602367,-55.345754,-35.894898,2.411645,27.898361,0.484389,-1.003779,-0.018799,17.746796,44.087142,-0.079823,0.625899,-0.184980,0.613096,0.006292,-6.477517,103.307242,9.829878
0.358269,-34.918711,30.922990,16.548574,38.378611,9.192829,675.726762,-76.173288,-34.431218,1.999239,36.878868,-0.368359,-0.926842,0.017723,46.063957,39.438476,0.812668,-14.135907,0.269961,0.570827,-0.012129,-3.085667,100.384382,9.615708
0.368221,-62.697820,43.496245,13.356771,19.285871,-19.827885,659.825133,-104.023202,-28.552458,4.310051,44.668024,-1.262682,-1.141297,0.043151,45.453407,38.017634,1.332976,-13.925406,0.220842,0.564848,-0.010292,1.230991,101.961473,8.734154
0.378173,-85.024684,42.076328,12.465432,22.927383,-13.604844,660.934394,-95.749175,-30.998861,2.590728,42.907309,-1.524410,-1.203291,0.052839,17.860066,39.859766,0.810921,0.693759,-0.239132,0.593841,0.010484,1.323304,103.806615,7.189559
0.388125,-57.060185,17.927338,6.797547,86.701499,37.268545,691.810170,-56.440563,-54.741530,-5.341973,33.621901,-1.094254,-1.271297,0.056326,4.605171,36.965410,-0.591648,7.714061,-0.424824,0.536188,0.028478,0.562031,100.910375,6.431923
0.398077,-48.511390,9.406546,-1.200784,108.903979,77.122234,703.213780,-56.285486,-63.456776,-8.937256,32.862534,-0.907016,-1.273136,0.065949,13.899000,33.825445,-1.218909,2.189498,-0.233328,0.486568,0.032260,1.483103,99.336969,6.062233
0.408029,-90.801470,38.565457,0.580840,53.339863,77.596168,657.600431,-93.959775,-33.163546,-3.019191,40.821563,-1.223660,-0.770623,0.059260,18.236216,36.996659,-0.251804,-1.673215,-0.129152,0.567585,0.029495,3.269856,103.252408,5.695409
0.417981,-115.857335,57.687511,6.412196,16.821780,80.409229,619.307119,-109.785644,-13.631718,4.010071,42.649568,-1.265335,-0.442980,0.032580,14.031135,40.721849,0.719315,-0.785852,-0.153964,0.625056,0.026830,5.145833,107.858431,5.808895
0.427933,-112.688195,63.599713,12.197339,29.545926,87.320252,603.836383,-106.847496,-6.917137,6.757139,41.724727,-0.792216,-0.172490,0.002644,13.965737,42.681244,0.421538,-0.548921,-0.104736,0.604310,0.023288,5.647196,108.446890,5.426586
0.437885,-88.637714,62.565200,21.009395,75.674435,87.035568,624.607861,-89.271677,-4.446267,6.022792,33.230581,-0.404293,0.026519,0.046892,17.924562,47.199145,-0.435751,-1.104195,-0.068514,0.603623,0.023726,4.982253,106.796845,5.212655
0.447837,-37.190258,37.422666,36.553378,143.742454,135.937550,719.580218,-40.560346,-17.764178,3.654512,9.445572,-0.538454,0.185420,0.169632,21.218271,56.369711,-0.793387,-1.148051,-0.178307,0.612863,0.032550,0.230965,104.837579,6.607176
0.457788,11.051322,-5.973084,50.161387,196.613173,229.132940,829.449472,9.276392,-46.224958,3.272779,-17.719009,1.289248,0.327690,0.160188,23.412552,65.497041,-0.637905,-1.120138,-0.310365,0.598769,0.041307,-5.473107,101.795445,8.360740
0.467740,-0.454830,-13.872842,43.677015,177.742515,198.699655,807.631493,-14.211766,-60.260731,5.375864,-14.661226,5.060953,0.437764,-0.055556,29.446792,64.970563,-0.946664,-2.439389,-0.204178,0.635495,0.036198,-0.819958,97.720626,8.644529
0.477692,-38.302737,21.709022,26.106720,122.320901,16.667239,636.746981,-77.829522,-47.536058,5.281737,7.903861,7.932975,0.720123,-0.223462,41.326784,57.728283,-2.508143,-5.116460,-0.027490,0.755923,0.028214,6.303014,92.955392,7.547250
0.487644,-25.167489,51.862546,21.612755,148.251671,-153.165537,516.158703,-90.450450,-30.922773,4.068836,6.980353,9.005871,1.484484,-0.234644,55.917131,55.324290,-4.707934,-8.264098,-0.148379,0.732170,0.047126,3.962843,92.248279,6.397068
0.497596,30.577969,62.277489,29.134255,221.783974,-256.660665,573.355701,-60.895799,-25.444054,5.618319,-17.814126,8.192511,2.918756,-0.191832,67.702948,55.631006,-6.095513,-11.068554,-0.063831,0.487984,0.051467,3.646124,96.670730,7.328162
0.507548,47.962531,47.676680,33.853963,177.989071,-357.234016,683.769855,-54.867375,-37.560036,9.274498,-35.998237,5.479398,4.454317,-0.120144,64.343118,56.461972,-6.005996,-9.602657,0.754238,0.448473,-0.032868,9.977681,92.623518,9.807575
0.517500,30.446880,14.034349,31.815862,56.524133,-458.427668,708.926095,-69.404867,-62.469500,12.019725,-42.623915,2.210092,5.581778,-0.051204,51.330647,58.121183,-5.274460,-5.341739,1.676886,0.635457,-0.151032,15.955952,78.441331,11.547283
