time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0.189087,0.108436,0.014047,-0.133012,-1.043810,0.968234,0.176856,0.177783,-0.094637,-0.089527,1.121437,-0.046694,-0.349066,0.000000,0.020494,0.051361,-0.244955,0.275348,0.204382,-0.095263,0.000000,-0.341969,-0.051389,0.004212
0.199038,0.105521,0.006919,-0.119340,-1.029252,0.970166,0.176117,0.205417,-0.085380,-0.106940,1.099498,-0.025067,-0.349066,0.000000,-0.003547,0.048494,-0.230739,0.254561,0.207226,-0.087503,0.000000,-0.341719,-0.036978,-0.003877
0.208990,0.103373,0.000454,-0.105985,-1.014676,0.971738,0.175463,0.230631,-0.077526,-0.124414,1.071550,-0.007369,-0.349066,0.000000,-0.028093,0.045627,-0.218169,0.233735,0.210564,-0.079180,0.000000,-0.341992,-0.023691,-0.011628
0.218942,0.103282,-0.007327,-0.092575,-1.000033,0.973161,0.175047,0.250964,-0.068458,-0.142278,1.036293,0.006566,-0.349066,0.000000,-0.054968,0.040331,-0.208291,0.212769,0.214447,-0.069804,0.000000,-0.344348,-0.009625,-0.018671
0.228894,0.104389,-0.016526,-0.079157,-0.985343,0.974304,0.174880,0.267734,-0.057867,-0.160254,0.994577,0.015480,-0.349066,0.000000,-0.083375,0.032165,-0.202145,0.192529,0.221875,-0.054430,0.000000,-0.347825,0.005285,-0.024821
0.238846,0.101438,-0.019477,-0.067117,-0.971001,0.974438,0.174415,0.289922,-0.055011,-0.176349,0.951062,0.023223,-0.349066,0.000000,-0.105528,0.030495,-0.195967,0.173910,0.228915,-0.041803,0.000000,-0.346688,0.014022,-0.031785
0.248798,0.097382,-0.018503,-0.056544,-0.956676,0.973996,0.174043,0.312174,-0.056601,-0.190792,0.903319,0.030904,-0.349066,0.000000,-0.126065,0.033179,-0.188998,0.155377,0.232695,-0.032762,0.000000,-0.343920,0.017957,-0.038905
0.258750,0.096729,-0.018843,-0.046614,-0.942019,0.973556,0.174148,0.326644,-0.055841,-0.204976,0.847534,0.037363,-0.349066,0.000000,-0.151118,0.033995,-0.185902,0.136302,0.235474,-0.019809,0.000000,-0.344231,0.021942,-0.045029
0.268702,0.097295,-0.018000,-0.036716,-0.927253,0.972786,0.174248,0.337511,-0.057961,-0.221276,0.788118,0.051890,-0.315170,0.000000,-0.177233,0.035661,-0.185170,0.118217,0.239455,-0.005440,0.000000,-0.345509,0.024546,-0.051504
0.278654,0.097102,-0.014819,-0.027197,-0.912507,0.971429,0.174348,0.347552,-0.063168,-0.238502,0.725362,0.068259,-0.269036,0.000000,-0.202341,0.039514,-0.182255,0.100418,0.243275,0.005188,0.000000,-0.345787,0.024510,-0.058354
0.288606,0.096393,-0.010014,-0.018175,-0.897664,0.969576,0.174498,0.356001,-0.069634,-0.255481,0.658241,0.083401,-0.219355,0.000000,-0.227154,0.044983,-0.176798,0.082495,0.246668,0.012480,0.000000,-0.345152,0.022541,-0.065558
0.298558,0.095454,-0.004614,-0.010435,-0.882720,0.967376,0.174902,0.362647,-0.075433,-0.271126,0.586891,0.097134,-0.165731,0.000000,-0.252050,0.050816,-0.169260,0.064728,0.249481,0.017393,0.000000,-0.344012,0.019209,-0.072148
0.308510,0.094721,0.001008,-0.002756,-0.867673,0.964928,0.175438,0.367287,-0.080974,-0.286569,0.512897,0.111485,-0.103394,0.000000,-0.277138,0.056127,-0.158982,0.047694,0.251037,0.020019,0.000000,-0.342963,0.015423,-0.079402
0.318462,0.094236,0.006131,0.004949,-0.852560,0.962270,0.176139,0.370466,-0.084785,-0.298656,0.437649,0.123513,-0.039682,0.000000,-0.302309,0.059818,-0.147023,0.031580,0.252677,0.021862,0.000000,-0.342134,0.011975,-0.086579
0.328413,0.094455,0.010378,0.012907,-0.837330,0.959481,0.177006,0.371293,-0.086637,-0.307623,0.361836,0.133526,0.023053,0.000000,-0.327855,0.061536,-0.134139,0.016776,0.253717,0.022473,0.000000,-0.341911,0.009239,-0.093374
0.338365,0.094872,0.014317,0.020967,-0.822011,0.956565,0.178011,0.371048,-0.087478,-0.312620,0.288280,0.141324,0.079295,0.000000,-0.352688,0.061945,-0.122059,0.004203,0.254477,0.023594,0.000000,-0.341769,0.006611,-0.100157
0.348317,0.095203,0.018186,0.028983,-0.806684,0.953565,0.179096,0.370831,-0.087728,-0.310957,0.219997,0.144535,0.119836,0.000000,-0.374886,0.061281,-0.114055,0.000000,0.256699,0.028024,0.000000,-0.341699,0.004079,-0.106790
0.358269,0.096811,0.020957,0.036671,-0.791319,0.950652,0.180275,0.370730,-0.088157,-0.310465,0.163317,0.146229,0.153058,0.000000,-0.396304,0.058728,-0.108917,0.000000,0.259693,0.033827,0.000000,-0.343271,0.002823,-0.112594
0.368221,0.099508,0.022725,0.044818,-0.775847,0.947844,0.181526,0.370029,-0.088535,-0.309010,0.118681,0.145695,0.176176,0.000000,-0.417255,0.054166,-0.103407,0.000000,0.262701,0.039199,0.000000,-0.345984,0.002789,-0.118629
0.378173,0.102500,0.024116,0.053904,-0.760238,0.945104,0.182778,0.369431,-0.089839,-0.305449,0.087135,0.141952,0.183996,0.000000,-0.436636,0.048078,-0.096047,0.000000,0.265309,0.042622,0.000000,-0.348829,0.003484,-0.125248
0.388125,0.106367,0.024652,0.063900,-0.744365,0.942515,0.184043,0.365589,-0.090229,-0.289643,0.063200,0.130853,0.161564,0.000000,-0.454795,0.039742,-0.087491,0.004882,0.267802,0.044945,0.000000,-0.352139,0.005622,-0.133030
0.398077,0.107577,0.027287,0.071133,-0.728439,0.939724,0.185495,0.371839,-0.096122,-0.289566,0.064308,0.127438,0.145988,0.000000,-0.466747,0.033815,-0.085120,0.019377,0.271467,0.050633,0.000000,-0.352589,0.004699,-0.139191
0.408029,0.108821,0.029850,0.076712,-0.712306,0.937068,0.187127,0.383377,-0.104885,-0.312988,0.087343,0.133383,0.146987,0.000000,-0.476714,0.027503,-0.088374,0.038122,0.273961,0.060860,0.000000,-0.352857,0.003374,-0.144251
0.417981,0.109991,0.030616,0.081181,-0.695839,0.934603,0.188886,0.393196,-0.112339,-0.344934,0.118927,0.140007,0.153172,0.000000,-0.485141,0.018919,-0.095984,0.059943,0.274658,0.075253,0.000000,-0.352372,0.003886,-0.148196
0.427933,0.110900,0.029981,0.084339,-0.678960,0.932308,0.190666,0.400670,-0.117766,-0.368285,0.156414,0.144207,0.146829,0.000000,-0.493020,0.009212,-0.102534,0.082272,0.270632,0.087430,0.000000,-0.350676,0.006002,-0.150846
0.437885,0.112456,0.026825,0.086558,-0.661648,0.930317,0.192515,0.404222,-0.119472,-0.381284,0.197002,0.147857,0.134185,0.000000,-0.501022,-0.003059,-0.110260,0.105585,0.262920,0.099325,0.000000,-0.348691,0.011035,-0.152303
0.447837,0.113951,0.021520,0.088197,-0.643965,0.928598,0.194413,0.404245,-0.116744,-0.382749,0.236443,0.145937,0.115333,0.000000,-0.507992,-0.017402,-0.119006,0.130450,0.250983,0.109195,0.000000,-0.345828,0.018565,-0.153119
0.457788,0.116089,0.012688,0.087497,-0.625854,0.927301,0.196785,0.401133,-0.106781,-0.377637,0.270078,0.125542,0.090731,0.000000,-0.514696,-0.034525,-0.130511,0.156897,0.233442,0.115701,0.000000,-0.342775,0.029015,-0.150956
0.467740,0.118688,-0.002285,0.084015,-0.607775,0.926674,0.199910,0.397143,-0.086501,-0.367808,0.292221,0.073337,0.053286,0.000000,-0.519409,-0.056878,-0.145459,0.186837,0.208631,0.115159,0.000000,-0.340619,0.044683,-0.144246
0.477692,0.121739,-0.021182,0.079835,-0.589659,0.926843,0.203412,0.392211,-0.060802,-0.350874,0.307756,0.020750,0.014906,0.000000,-0.522057,-0.082326,-0.157351,0.220216,0.174788,0.101716,0.000000,-0.339271,0.064055,-0.135622
0.487644,0.122482,-0.037961,0.074871,-0.571531,0.927384,0.206889,0.390675,-0.038544,-0.332258,0.331380,-0.012074,-0.023087,0.000000,-0.518472,-0.104707,-0.167590,0.259502,0.132827,0.079595,0.000000,-0.335859,0.080876,-0.127305
0.497596,0.121790,-0.050539,0.071688,-0.553634,0.928294,0.209636,0.391219,-0.023659,-0.319391,0.364812,-0.022136,-0.054392,0.000000,-0.507524,-0.122561,-0.172346,0.306380,0.081870,0.043515,0.000000,-0.331751,0.094796,-0.122396
0.507548,0.122942,-0.064188,0.069606,-0.535613,0.929773,0.212201,0.387427,-0.005870,-0.305296,0.395183,-0.016760,-0.085635,0.000000,-0.493535,-0.141812,-0.177104,0.359015,0.015701,-0.007786,0.000000,-0.329610,0.110657,-0.118481
0.517500,0.125345,-0.079087,0.065566,-0.517670,0.931709,0.215139,0.379117,0.017693,-0.284537,0.417335,-0.006517,-0.111749,0.000000,-0.476419,-0.162133,-0.184373,0.417478,-0.056967,-0.066427,0.000000,-0.329354,0.127055,-0.111873
0.527452,0.126828,-0.093094,0.058767,-0.500093,0.933834,0.218514,0.368953,0.043421,-0.259803,0.433153,0.004607,-0.135301,0.000000,-0.454131,-0.180396,-0.187875,0.482158,-0.124955,-0.126218,0.000000,-0.329280,0.140812,-0.102580
0.537404,0.127569,-0.104532,0.050652,-0.482968,0.936115,0.221979,0.356319,0.066793,-0.237690,0.443650,0.017299,-0.158344,0.000000,-0.426490,-0.194610,-0.184012,0.552384,-0.187498,-0.185504,0.000000,-0.329600,0.150781,-0.092059
0.547356,0.128166,-0.113741,0.042865,-0.466373,0.938569,0.225392,0.340941,0.087114,-0.219020,0.449498,0.031190,-0.176643,0.000000,-0.393957,-0.205515,-0.174214,0.625830,-0.249177,-0.246002,0.000000,-0.330740,0.157912,-0.081163
0.557308,0.128671,-0.121187,0.036382,-0.450269,0.941200,0.228662,0.323460,0.104319,-0.204062,0.451814,0.046586,-0.186354,0.000000,-0.357663,-0.214144,-0.161366,0.698731,-0.310927,-0.307913,0.000000,-0.332664,0.163138,-0.070957
0.567260,0.129876,-0.128071,0.031629,-0.434446,0.944094,0.231775,0.302990,0.119552,-0.193566,0.450243,0.062272,-0.188219,0.000000,-0.320476,-0.223609,-0.150537,0.768357,-0.354616,-0.349066,0.000000,-0.335586,0.167741,-0.061093
0.577212,0.131179,-0.134217,0.028723,-0.418828,0.947187,0.234635,0.280147,0.132740,-0.187297,0.444359,0.077311,-0.185515,0.000000,-0.282218,-0.234474,-0.142999,0.834797,-0.356932,-0.349066,0.000000,-0.338381,0.171739,-0.051926
0.587163,0.132558,-0.138084,0.027490,-0.403412,0.950474,0.237174,0.255128,0.142162,-0.185138,0.434678,0.092751,-0.177758,0.000000,-0.243061,-0.243152,-0.135946,0.896217,-0.328044,-0.349066,0.000000,-0.341107,0.173586,-0.043759
0.597115,0.134759,-0.138917,0.027556,-0.388148,0.954056,0.239343,0.227412,0.147007,-0.186874,0.421796,0.108301,-0.164472,0.000000,-0.203669,-0.247130,-0.126362,0.950546,-0.293469,-0.349066,0.000000,-0.344467,0.172632,-0.036725
0.607067,0.136032,-0.137300,0.027862,-0.373106,0.957675,0.241266,0.199815,0.148360,-0.190962,0.406964,0.123342,-0.146926,0.000000,-0.162757,-0.246537,-0.115040,0.997179,-0.265265,-0.349066,0.000000,-0.346572,0.169113,-0.029796
0.617019,0.136344,-0.134141,0.026882,-0.358162,0.961278,0.243230,0.172667,0.147998,-0.194081,0.391048,0.137041,-0.126652,0.000000,-0.121940,-0.242967,-0.105798,1.035642,-0.241056,-0.349066,0.000000,-0.347517,0.163341,-0.022356
0.626971,0.135097,-0.130230,0.024555,-0.343309,0.964699,0.245308,0.146869,0.146981,-0.195505,0.374286,0.149140,-0.105557,0.000000,-0.080492,-0.238262,-0.099850,1.067454,-0.215444,-0.349066,0.000000,-0.346719,0.156101,-0.014363
0.636923,0.133027,-0.125689,0.020571,-0.328540,0.967982,0.247503,0.121583,0.145536,-0.194838,0.356474,0.159461,-0.084540,0.000000,-0.039515,-0.232750,-0.097529,1.092544,-0.181845,-0.349066,0.000000,-0.345010,0.147557,-0.005686
0.646875,0.130136,-0.120675,0.014619,-0.313772,0.971064,0.249789,0.096906,0.143787,-0.191786,0.337896,0.167909,-0.064369,0.000000,0.000427,-0.226301,-0.098447,1.110291,-0.139570,-0.349066,0.000000,-0.342238,0.137987,0.003869
0.656827,0.126562,-0.115430,0.007399,-0.298832,0.973872,0.252029,0.072565,0.141694,-0.187716,0.318578,0.175162,-0.044956,0.000000,0.038895,-0.219288,-0.102201,1.120536,-0.099593,-0.349066,0.000000,-0.338085,0.128071,0.013489
0.666779,0.122959,-0.110820,-0.002315,-0.283806,0.976459,0.254401,0.047817,0.140288,-0.181656,0.298289,0.180800,-0.026244,0.000000,0.074750,-0.213460,-0.110615,1.123540,-0.066852,-0.349066,0.000000,-0.333672,0.118310,0.024692
0.676731,0.119762,-0.107461,-0.013181,-0.268885,0.978840,0.256900,0.022181,0.140289,-0.174514,0.276397,0.183825,-0.009499,0.000000,0.108437,-0.209766,-0.121765,1.120036,-0.041472,-0.349066,0.000000,-0.329967,0.109603,0.036564
0.686683,0.117655,-0.104553,-0.024955,-0.253962,0.981004,0.259528,-0.004623,0.140409,-0.168176,0.254240,0.186309,0.007175,0.000000,0.138899,-0.207498,-0.135677,1.110170,-0.020913,-0.349066,0.000000,-0.327552,0.101009,0.048770
0.696635,0.114847,-0.100958,-0.036582,-0.238964,0.982665,0.261902,-0.029842,0.138729,-0.165215,0.233546,0.190653,0.025843,0.000000,0.168527,-0.204293,-0.150221,1.094643,-0.001359,-0.349066,0.000000,-0.324043,0.092286,0.059788
0.706587,0.113203,-0.098688,-0.048490,-0.223950,0.984073,0.264297,-0.056024,0.137806,-0.164172,0.213343,0.194567,0.046482,0.000000,0.194920,-0.202934,-0.165765,1.073208,0.018893,-0.349066,0.000000,-0.321894,0.084849,0.071084
0.716538,0.111550,-0.097247,-0.059286,-0.209005,0.985119,0.266607,-0.081419,0.137315,-0.165204,0.194287,0.198186,0.066201,0.000000,0.220245,-0.202369,-0.180582,1.046581,0.036038,-0.349066,0.000000,-0.319807,0.078522,0.081661
0.726490,0.109085,-0.095595,-0.068761,-0.194030,0.985662,0.268686,-0.105513,0.136435,-0.166361,0.175880,0.202529,0.083093,0.000000,0.244998,-0.200810,-0.194181,1.014295,0.049046,-0.349066,0.000000,-0.316926,0.072838,0.089693
0.736442,0.106502,-0.094136,-0.076459,-0.178977,0.985785,0.270537,-0.129612,0.135814,-0.166363,0.157209,0.206084,0.097077,0.000000,0.268448,-0.198094,-0.205147,0.976339,0.059056,-0.349066,0.000000,-0.313975,0.068189,0.095196
0.746394,0.103697,-0.092969,-0.083332,-0.163910,0.985461,0.272278,-0.153269,0.135311,-0.165855,0.139100,0.209906,0.110521,0.000000,0.290556,-0.195668,-0.216258,0.933109,0.063605,-0.348785,0.000000,-0.310910,0.064200,0.099805
0.756346,0.101253,-0.093126,-0.090881,-0.148855,0.984776,0.274172,-0.177412,0.135992,-0.163495,0.121159,0.213013,0.123071,0.000000,0.309649,-0.196475,-0.230790,0.885249,0.074001,-0.322013,0.000000,-0.308485,0.061048,0.105545
0.766298,0.100022,-0.094748,-0.097602,-0.133638,0.983805,0.275980,-0.203730,0.138115,-0.160367,0.102282,0.215285,0.134513,0.000000,0.324713,-0.198893,-0.246616,0.832245,0.088645,-0.285953,0.000000,-0.307238,0.059510,0.111284
0.776250,0.099661,-0.097502,-0.103516,-0.118287,0.982513,0.277662,-0.231915,0.141361,-0.154998,0.082313,0.216213,0.143335,0.000000,0.336644,-0.201580,-0.262191,0.774611,0.102250,-0.248131,0.000000,-0.306937,0.059433,0.116649
0.786202,0.099172,-0.101283,-0.108899,-0.102924,0.980869,0.279191,-0.259988,0.145433,-0.147948,0.062627,0.216046,0.149782,0.000000,0.346779,-0.204518,-0.277333,0.712777,0.113303,-0.209154,0.000000,-0.306783,0.060942,0.121877
0.796154,0.097853,-0.105444,-0.114462,-0.087521,0.978843,0.280608,-0.286615,0.149383,-0.140011,0.044415,0.215999,0.155099,0.000000,0.355551,-0.206890,-0.292207,0.646382,0.122830,-0.170035,0.000000,-0.305950,0.063098,0.127591
0.806106,0.095411,-0.109481,-0.119029,-0.071990,0.976388,0.281792,-0.311587,0.152858,-0.130412,0.027646,0.216377,0.158080,0.000000,0.363854,-0.207392,-0.304815,0.575902,0.132335,-0.131120,0.000000,-0.303690,0.065727,0.132356
